,rep
0,indécis
1,indécis
2,indécis
3,indécis
4,indécis
5,indécis
0,neutre
1,neutre
2,neutre
3,neutre
0,neutre
1,neutre
2,neutre
3,neutre
4,neutre
5,neutre
6,neutre
0,neutre
1,neutre
2,neutre
3,neutre
4,neutre
0,plutôt d’accord
1,Pas du tout d’accord
2,d’accord
3,tout à fait d’accord
0,Il arrive facilement qu'un mois passe sans que je ne joue.
1,
2,juste en solo
3,0
4,Fer
5,Il se passe rarement plus de quelques jours sans que je ne regarde un match.
6,0
7,
0,supérieur à Bac+6
1,jeune pro (M2 spécialisé ou doctorant)
2,un homme
3,
